state,account_length,area_code,number_vmail_messages,customer_service_calls,churn,international_plan_total,voice_mail_plan_total,total_calls,total_charges,total_minutes
LA,151,408,0,0,0,1.0,1.0,359,69.83,746.5
OH,83,415,0,0,1,1.0,1.0,357,87.89,734.4999999999999
VA,139,510,23,0,0,1.0,1.0,339,63.150000000000006,677.5
MO,6,510,0,1,0,1.0,1.0,270,63.82,629.1
FL,115,510,24,1,0,1.0,1.0,371,49.760000000000005,499.90000000000003
SC,87,415,0,0,0,1.0,1.0,311,45.92,453.1
VA,141,415,0,0,0,1.0,1.0,330,72.08999999999999,724.1
IA,141,510,36,3,0,1.0,1.0,325,65.57,668.9
MI,62,415,0,1,0,1.0,1.0,308,42.26,483.09999999999997
OK,146,415,0,1,0,1.0,1.0,334,56.87,528.1999999999999
DE,92,415,33,2,0,1.0,1.0,290,73.05999999999999,697.6999999999999
GA,185,510,31,1,0,1.0,1.0,388,60.10000000000001,625.4000000000001
DC,148,415,0,1,0,1.0,1.0,323,69.71000000000001,717.4
AZ,94,408,38,1,0,1.0,1.0,317,53.580000000000005,482.09999999999997
AL,32,510,0,0,0,1.0,1.0,232,63.81,578.5999999999999
CO,68,408,0,1,0,1.0,1.0,291,67.25,571.2
NH,64,408,27,2,0,1.0,1.0,280,55.650000000000006,527.1
NM,25,415,0,3,0,1.0,1.0,278,53.2,610.2
OR,65,415,0,1,0,1.0,1.0,332,47.09,492.20000000000005
LA,179,408,0,0,0,1.0,1.0,326,62.61999999999999,619.4
NE,94,415,0,2,0,1.0,1.0,342,68.0,603.6
MN,62,415,0,0,0,1.0,1.0,316,53.26,544.9000000000001
MI,127,415,0,2,0,1.0,1.0,305,65.75,638.2
AR,116,408,0,3,0,1.0,1.0,291,59.73,591.8000000000001
KS,70,408,0,3,0,1.0,1.0,346,73.36,725.5999999999999
WV,94,510,23,4,0,1.0,1.0,369,67.00999999999999,703.3
AK,126,415,0,5,1,1.0,1.0,304,31.05,345.59999999999997
NY,67,408,36,2,0,1.0,1.0,320,50.169999999999995,533.0999999999999
NH,19,408,0,2,0,1.0,1.0,289,66.83000000000001,669.0
VA,170,510,0,3,0,1.0,1.0,314,73.32999999999998,647.6999999999999
NM,73,415,0,1,0,1.0,1.0,385,73.02,734.8
NY,106,408,0,1,0,1.0,1.0,320,44.13,431.7
AZ,93,415,0,2,0,1.0,1.0,303,72.09,589.1999999999999
WY,164,510,0,1,0,1.0,1.0,352,52.02,519.9
WA,51,408,0,1,0,1.0,1.0,314,68.3,660.1
CO,107,415,0,0,0,1.0,1.0,298,45.54,435.4
TX,130,415,0,1,0,1.0,1.0,284,51.06,515.1
KY,80,408,0,2,0,1.0,1.0,274,64.00999999999999,622.0
MT,94,415,0,0,0,1.0,1.0,339,51.019999999999996,504.09999999999997
OK,118,408,23,1,0,1.0,1.0,255,71.30999999999999,584.7
MD,117,415,23,1,0,1.0,1.0,270,58.690000000000005,562.4
TN,78,415,0,0,0,1.0,1.0,368,55.32999999999999,603.1
TX,208,510,0,2,1,1.0,1.0,288,81.57000000000001,695.2
ME,131,510,26,4,1,1.0,1.0,332,81.97999999999999,761.6999999999999
DC,63,408,0,0,0,1.0,1.0,262,43.73,518.7
MN,53,415,24,3,0,1.0,1.0,383,58.3,629.2
DE,62,408,0,2,0,1.0,1.0,326,72.94,766.7
MD,97,415,0,3,0,1.0,1.0,298,65.25,648.9
MI,105,510,0,2,0,1.0,1.0,246,50.68,543.0
WA,157,415,0,1,0,1.0,1.0,282,59.300000000000004,617.6999999999999
MO,66,415,36,1,0,1.0,1.0,272,47.81,519.0
IN,122,415,0,2,0,1.0,1.0,262,60.370000000000005,521.2
OR,38,415,0,3,0,1.0,1.0,284,61.89,615.2
MD,106,510,0,3,0,1.0,1.0,294,64.26,638.1000000000001
RI,99,510,0,3,0,1.0,1.0,297,72.33,705.8
LA,99,415,0,1,0,1.0,1.0,289,65.82,596.5
AZ,144,510,0,0,0,1.0,1.0,308,67.6,657.3000000000001
PA,82,415,24,1,0,1.0,1.0,308,55.559999999999995,532.8000000000001
AZ,86,408,31,1,0,1.0,1.0,384,52.49999999999999,539.7
FL,70,510,0,2,1,1.0,1.0,310,65.97,545.6
LA,93,415,0,3,0,1.0,1.0,328,58.9,594.5999999999999
FL,93,415,0,0,0,1.0,1.0,288,52.279999999999994,521.2
FL,120,415,0,3,0,1.0,1.0,260,62.87,674.3
MD,136,415,0,1,1,1.0,1.0,355,75.54,681.3
AL,106,415,0,0,0,1.0,1.0,338,57.68,528.9
WA,81,415,0,3,0,1.0,1.0,319,57.02,560.6
TN,127,408,22,1,0,1.0,1.0,291,56.81999999999999,595.6
MS,65,415,0,1,0,1.0,1.0,314,57.44,633.6
ME,35,408,0,2,0,1.0,1.0,345,56.21,574.6999999999999
OK,88,408,0,2,0,1.0,1.0,287,39.769999999999996,483.40000000000003
IN,65,415,0,1,0,1.0,1.0,332,68.19000000000001,700.7
MO,123,415,0,3,0,1.0,1.0,301,68.02,680.8000000000001
IA,126,408,27,2,0,1.0,1.0,303,53.8,461.9
VA,104,415,23,4,0,1.0,1.0,333,76.12,650.9
KY,45,415,22,0,0,1.0,1.0,287,70.6,684.9999999999999
MD,93,408,0,0,1,1.0,1.0,285,76.66999999999999,669.5
OH,63,415,36,1,0,1.0,1.0,319,70.45,698.9
OK,100,415,0,3,0,1.0,1.0,346,64.77000000000001,614.5
NV,53,415,0,0,0,1.0,1.0,299,57.309999999999995,554.3000000000001
ID,92,415,0,1,0,1.0,1.0,367,62.78,655.5999999999999
MN,139,510,0,5,1,1.0,1.0,331,52.27,549.5000000000001
SD,110,408,40,2,0,1.0,1.0,338,57.54,565.3
IL,110,408,0,3,0,1.0,1.0,323,41.04,477.3
WY,215,510,0,0,0,1.0,1.0,358,37.58,441.8
AL,73,415,0,1,0,1.0,1.0,295,55.83,509.99999999999994
NJ,138,510,0,0,0,1.0,1.0,298,57.209999999999994,516.7
NV,137,415,0,2,1,1.0,1.0,280,47.73,504.59999999999997
IN,36,415,0,1,0,1.0,1.0,333,73.25999999999999,720.0
WV,85,408,0,3,0,1.0,1.0,256,63.95,603.3000000000001
VA,108,408,0,0,1,1.0,1.0,237,75.02000000000001,830.6
SC,22,408,0,0,0,1.0,1.0,301,44.57,488.6
RI,107,415,37,0,0,1.0,1.0,291,33.67,435.1
IN,51,510,0,0,0,1.0,1.0,223,64.74000000000001,658.1
AZ,94,408,0,4,0,1.0,1.0,282,61.66,639.3000000000001
NM,119,510,23,2,0,1.0,1.0,367,63.28,672.1999999999999
OR,33,415,29,4,1,1.0,1.0,269,53.09,568.4
NJ,106,415,0,4,0,1.0,1.0,350,62.480000000000004,586.1
MS,82,408,0,3,0,1.0,1.0,289,65.21,621.4
MI,86,510,41,0,0,1.0,1.0,296,53.01,595.4
TX,97,415,0,0,0,1.0,1.0,283,58.599999999999994,605.9
FL,106,408,32,4,0,1.0,1.0,313,58.199999999999996,569.6
DC,108,510,0,1,0,1.0,1.0,334,51.28,552.3
TX,114,415,0,1,0,1.0,1.0,307,48.260000000000005,542.5
KS,92,408,0,1,1,1.0,1.0,319,38.78,475.29999999999995
UT,59,510,0,1,0,1.0,1.0,286,56.349999999999994,568.6
MN,24,510,25,1,0,1.0,1.0,279,58.03,612.1000000000001
IL,151,408,0,1,0,1.0,1.0,262,49.269999999999996,516.9
NM,117,415,0,1,0,1.0,1.0,310,53.76,551.3
SC,78,510,0,1,0,1.0,1.0,320,61.64,643.0
NC,155,408,0,2,0,1.0,1.0,259,69.97999999999999,611.8
WV,114,510,30,1,0,1.0,1.0,259,73.35,769.1999999999999
RI,114,510,28,4,0,1.0,1.0,320,67.52999999999999,659.6
NH,119,408,0,3,0,1.0,1.0,271,53.53,586.2
MO,64,510,48,0,0,1.0,1.0,298,35.480000000000004,382.5
MA,118,408,0,2,0,1.0,1.0,321,53.1,530.1
PA,101,415,0,0,0,1.0,1.0,325,69.42999999999999,696.0
OK,117,415,0,1,0,1.0,1.0,311,49.32,523.3000000000001
AL,49,415,28,3,0,1.0,1.0,298,67.88,663.8
WY,139,415,0,3,0,1.0,1.0,304,65.35000000000001,643.4000000000001
PA,92,408,28,1,0,1.0,1.0,286,55.71,595.0999999999999
WA,83,415,0,3,0,1.0,1.0,311,65.5,585.5
HI,148,510,0,0,0,1.0,1.0,276,67.04,641.3000000000001
SD,144,408,48,2,1,1.0,1.0,271,54.160000000000004,533.9000000000001
AL,131,415,25,2,0,1.0,1.0,255,66.33999999999999,683.6999999999999
VT,146,510,0,3,0,1.0,1.0,345,66.23,656.7
MT,143,415,0,2,0,1.0,1.0,328,56.059999999999995,547.5
MN,81,415,0,2,0,1.0,1.0,278,63.17,613.0
AK,48,415,37,1,0,1.0,1.0,280,59.35,527.9000000000001
MI,86,415,28,1,0,1.0,1.0,281,75.42000000000002,759.3
DE,71,415,0,3,0,1.0,1.0,278,63.540000000000006,667.5
SD,145,408,24,2,0,1.0,1.0,303,55.559999999999995,590.9
MI,137,510,0,2,0,1.0,1.0,313,57.10000000000001,537.6999999999999
KS,137,408,0,2,0,1.0,1.0,262,69.76,719.6
AL,167,510,0,0,0,1.0,1.0,254,61.83,609.3000000000001
OK,89,510,0,1,1,1.0,1.0,301,89.31,882.1999999999999
CT,199,415,34,0,0,1.0,1.0,316,73.48,757.3
NE,132,510,0,0,0,1.0,1.0,317,36.14,363.4
WI,94,510,0,1,0,1.0,1.0,336,54.79,523.6999999999999
CT,96,415,37,5,1,1.0,1.0,300,52.07,519.1999999999999
WI,96,510,18,1,0,1.0,1.0,272,55.03,575.4
IN,166,510,0,1,0,1.0,1.0,381,62.33,610.4000000000001
DC,74,415,0,2,0,1.0,1.0,240,44.76,485.9
AR,36,415,0,0,0,1.0,1.0,275,56.49,594.1999999999999
ME,113,415,0,4,0,1.0,1.0,346,66.33000000000001,647.9
MN,94,415,0,1,0,1.0,1.0,305,62.58,675.6999999999999
MD,67,415,0,2,0,1.0,1.0,276,50.57,489.4
FL,127,415,0,1,1,1.0,1.0,395,78.74000000000001,744.5000000000001
RI,121,408,0,0,1,1.0,1.0,266,75.14999999999999,829.1
IA,158,415,0,1,0,1.0,1.0,313,65.03,700.7
AZ,136,510,0,1,0,1.0,1.0,294,49.61000000000001,570.0
MO,196,415,0,2,0,1.0,1.0,298,71.24,665.7
VT,113,415,0,1,1,1.0,1.0,344,81.0,762.9000000000001
IN,122,408,0,4,1,1.0,1.0,298,77.76,656.5
RI,112,510,0,0,0,1.0,1.0,292,60.559999999999995,579.5
SD,209,415,0,3,0,1.0,1.0,298,71.24000000000001,677.9999999999999
MN,62,415,0,1,1,1.0,1.0,307,76.5,747.6
TX,110,415,38,1,0,1.0,1.0,302,67.7,625.4000000000001
VA,16,510,0,0,0,1.0,1.0,229,62.199999999999996,606.1
MA,73,408,0,0,0,1.0,1.0,339,51.71,589.1999999999999
ID,128,408,0,0,0,1.0,1.0,319,55.29,603.9
MA,39,408,0,1,0,1.0,1.0,327,45.23,502.9
GA,103,415,28,2,0,1.0,1.0,285,52.849999999999994,559.6
RI,119,415,29,3,0,1.0,1.0,259,50.55,529.8000000000001
ID,173,510,21,3,0,1.0,1.0,321,71.16,722.3
SD,128,510,32,2,1,1.0,1.0,258,63.559999999999995,576.6
MA,86,510,0,0,0,1.0,1.0,257,66.60000000000001,729.1
WY,114,415,32,1,0,1.0,1.0,276,50.33,548.3
VA,104,408,0,0,0,1.0,1.0,297,58.690000000000005,640.5
OR,148,415,0,1,0,1.0,1.0,321,50.0,595.8
VA,129,408,0,3,0,1.0,1.0,329,63.01,620.4
ME,100,510,30,0,0,1.0,1.0,332,37.43,437.70000000000005
AL,121,408,35,1,0,1.0,1.0,210,41.42,486.69999999999993
GA,143,408,33,1,0,1.0,1.0,320,70.27999999999999,640.5
IA,76,510,0,0,0,1.0,1.0,315,64.02,616.3
AZ,158,510,0,0,0,1.0,1.0,294,62.81,539.9
FL,116,510,0,3,0,1.0,1.0,329,67.25,643.1
MT,54,415,0,1,1,1.0,1.0,270,78.92999999999999,728.1999999999999
AL,86,415,0,7,1,1.0,1.0,371,48.080000000000005,475.99999999999994
DE,108,510,0,0,0,1.0,1.0,268,63.07,649.3
MT,66,510,0,1,0,1.0,1.0,266,59.730000000000004,594.8
KY,151,408,17,1,0,1.0,1.0,235,58.199999999999996,530.9
SC,99,510,0,0,0,1.0,1.0,253,62.36,621.5
WA,55,415,0,2,0,1.0,1.0,374,63.53,680.5
OR,77,510,0,2,0,1.0,1.0,305,74.02,720.6
AK,78,408,0,0,0,1.0,1.0,298,67.04,614.4
GA,89,415,0,1,1,1.0,1.0,261,65.5,661.3000000000001
MN,101,415,0,1,0,1.0,1.0,372,68.31,725.5999999999999
IL,44,415,34,0,0,1.0,1.0,259,65.48,625.2
IN,98,408,21,2,0,1.0,1.0,268,36.97,485.5
SC,64,510,37,1,0,1.0,1.0,297,44.43000000000001,417.2
VA,141,415,0,3,0,1.0,1.0,378,67.47999999999999,581.6
WI,81,415,33,1,0,1.0,1.0,313,52.98,558.1000000000001
VT,162,510,0,1,0,1.0,1.0,338,61.92999999999999,573.0
AZ,83,415,41,3,0,1.0,1.0,339,49.58,458.9000000000001
FL,100,510,0,4,1,1.0,1.0,207,41.57,468.59999999999997
AK,59,510,0,4,0,1.0,1.0,307,61.83,628.4
AR,179,415,38,4,0,1.0,1.0,238,70.75000000000001,701.8000000000001
AR,79,408,0,1,0,1.0,1.0,334,46.699999999999996,431.09999999999997
AK,117,415,0,2,0,1.0,1.0,274,61.44,605.3000000000001
MS,64,408,0,2,1,1.0,1.0,261,71.02,662.1
ME,31,415,0,1,0,1.0,1.0,298,48.029999999999994,471.79999999999995
CA,124,408,0,1,0,1.0,1.0,287,69.94999999999999,650.6999999999999
NM,122,408,23,2,0,1.0,1.0,315,49.93999999999999,492.4
NE,37,408,39,1,0,1.0,1.0,291,51.01,484.29999999999995
SC,90,408,29,1,0,1.0,1.0,313,57.62,598.9999999999999
CO,159,408,0,1,1,1.0,1.0,268,80.86999999999999,761.0999999999999
DE,148,415,0,0,0,1.0,1.0,269,50.86,568.4
OH,39,415,36,1,0,1.0,1.0,370,57.07000000000001,608.1
MS,77,408,0,2,0,1.0,1.0,364,64.85000000000001,654.0999999999999
OK,194,408,0,0,0,1.0,1.0,289,57.33,579.0
CO,154,415,0,1,1,1.0,1.0,278,92.2,831.3
NC,112,415,0,4,0,1.0,1.0,337,63.56,595.1
MD,45,415,0,1,0,1.0,1.0,338,51.17,604.6
KS,132,415,0,1,0,1.0,1.0,366,42.57,469.90000000000003
MA,128,415,0,0,0,1.0,1.0,297,67.75,644.3
NC,135,415,0,1,0,1.0,1.0,283,65.42,641.5
NM,56,408,0,2,0,1.0,1.0,309,65.43,655.7
CA,151,415,0,0,1,1.0,1.0,241,62.24,613.9999999999999
NY,32,415,0,2,0,1.0,1.0,304,59.09,576.8
AZ,90,415,0,2,0,1.0,1.0,240,63.31,676.0
SD,87,415,21,0,0,1.0,1.0,314,60.59,539.1
DC,138,415,0,2,0,1.0,1.0,321,50.52,487.8
ND,79,408,0,1,0,1.0,1.0,355,65.18,653.0
MO,95,415,0,1,1,1.0,1.0,287,64.53,662.1
KS,127,415,0,2,0,1.0,1.0,313,63.56000000000001,621.5999999999999
SD,137,510,0,3,0,1.0,1.0,263,71.21,666.4000000000001
OK,97,415,0,1,0,1.0,1.0,319,53.75,561.7
OR,149,415,0,0,0,1.0,1.0,264,55.050000000000004,576.4000000000001
IN,117,415,22,1,0,1.0,1.0,289,71.9,748.0000000000001
OH,84,408,0,2,0,1.0,1.0,301,58.52,601.7
KS,137,415,0,4,0,1.0,1.0,310,69.96,666.0
CT,99,415,0,3,0,1.0,1.0,262,65.09,750.9
NH,54,510,0,1,0,1.0,1.0,243,61.22,551.3
WI,85,415,0,1,0,1.0,1.0,342,49.870000000000005,531.1
MS,150,510,0,3,0,1.0,1.0,278,57.269999999999996,659.8000000000001
WV,43,415,0,1,0,1.0,1.0,318,62.00999999999999,638.0000000000001
MA,35,415,0,0,0,1.0,1.0,338,51.839999999999996,585.6
MD,98,415,0,5,0,1.0,1.0,364,63.92000000000001,627.9
PA,112,510,0,2,0,1.0,1.0,270,65.25,617.4
WI,16,510,0,0,1,1.0,1.0,279,66.91000000000001,612.3
TN,98,415,22,0,0,1.0,1.0,279,62.71,489.00000000000006
TX,84,408,0,0,0,1.0,1.0,336,51.77,549.5
OR,94,415,0,1,1,1.0,1.0,335,74.67,749.9000000000001
IL,84,510,0,1,0,1.0,1.0,363,52.66,507.2
DC,66,415,0,1,1,1.0,1.0,282,59.480000000000004,599.6
GA,98,415,31,1,0,1.0,1.0,314,52.62,578.5999999999999
ID,74,415,0,0,0,1.0,1.0,333,60.67,582.6
UT,96,408,26,1,0,1.0,1.0,295,51.23,513.0
KY,119,510,0,1,0,1.0,1.0,347,62.00000000000001,557.8000000000001
OH,73,415,0,4,0,1.0,1.0,298,62.84,634.3
WI,92,415,0,0,0,1.0,1.0,284,70.06,633.1
IL,21,415,0,0,0,1.0,1.0,272,47.11000000000001,509.90000000000003
